AT01H001,31,F
AT01H001,14,M
AT01H001,13,M
AT01H001,10,M
AT01H023,5,F
AT01H026,42,F
AT01H026,1,F
AT01H026,2,M
AT01H033,8,F
AT01H053,29,F
AT01H053,8,F
AT01H055,0,M
AT01H062,7,M
AT01H094,0,F
AT01H098,22,F
AT01H098,1,M
AT01H098,24,M
AT01H105,41,F
AT01H105,2,M
AT01H133,6,M
AT01H159,14,M
AT01H159,10,M
AT01H178,14,F
AT01H178,45,M
AT02H001,19,F
AT02H001,54,F
AT03H001,13,F
AT03H001,21,F
AT03H001,44,F
AT03H001,20,M
AT03H001,41,M
AT03H003,26,F
AT03H012,52,F
AT04H001,51,F
AT04H001,19,M
AT04H001,52,M
AT04H009,47,F
AT04H009,15,F
AT04H009,21,M
AT04H009,57,M
AT04H009,4,M
AT04H029,29,F
AT04H029,3,F
AT04H029,31,M
AT04H030,28,F
AT04H030,3,M
AT04H030,35,M
AT12H001,7,F
AT12H001,32,F
AT12H001,40,M
AT12H001,14,M
AT12H010,48,F
AT12H010,1,F
AT12H014,0,M
AT12H022,40,F
AT12H026,40,F
AT12H026,8,M
AT12H026,42,M
AT12H028,27,F
AT12H028,7,M
AT12H028,0,F
AT12H029,52,F
AT12H029,7,F
AT12H032,81,M
AT12H032,74,M
AT12H032,12,M
AT12H033,0,M
AT12H037,34,F
AT12H037,74,F
AT12H037,11,M
AT12H037,36,M
AT12H037,4,M
AT15H001,7,F
AT15H001,37,F
AT15H001,41,M
AT17H001,43,F
AT17H001,13,M
AT17H001,43,M
AT17H005,67,M
AT17H006,50,M
AT17H008,4,M
AT17H019,59,F
KM03H001,33,F
KM03H001,4,F
KM03H001,28,M
KM05H001,51,F
KM05H001,15,M
KM05H001,55,M
KM05H001,8,M
KM06H001,40,F
KM06H001,46,M
KM06H001,14,M
KM06H002,43,F
KM06H002,75,M
KM06H005,36,F
KM06H005,8,F
KM06H005,34,M
KM08H001,26,F
KM08H001,48,F
KM08H001,52,F
KM08H001,79,M
KT01H152,35,F
KT01H152,67,F
KT01H152,4,F
KT01H152,15,M
KT01H152,68,M
KT01H152,6,M
KT01H152,12,M
KT02H147,49,F
KT02H147,14,M
KT02H147,55,M
KT03H022,13,F
KT03H022,40,F
KT03H027,56,F
KT03H028,4,M
KT03H030,2,F
KT03H031,5,F
KT03H049,41,F
KT03H049,14,M
KT03H049,43,M
KT03H051,16,F
KT03H051,11,M
KT03H054,7,F
KT03H054,10,M
KT03H064,4,F
KT03H065,24,F
KT03H065,56,F
KT03H086,34,M
KT03H371,5,F
KT03H371,0,M
KT04H001,48,F
KT04H001,17,F
KT04H001,0,F
KT04H001,21,M
KT04H020,1,F
