280330,554518.8488,1834.066,W,1
312408,554271.7036,5028.006,W,1
277272,553903.0164,5372.144,W,1
309534,554671.463,5872.115,W,1
312558,554670.1633,2054.97,W,1
280613,553089.9432,4929.003,W,1
277278,554715.0985,6163.903,W,1
319421,554553.7034,2071.192,W,1
279602,555265.1348,2061.073,W,1
280448,554323.6928,5396.364,W,1
279604,555172.8008,2027.809,W,1
309345,554495.6298,5340.378,W,1
279749,555339.423,7033.278,W,1
282127,553301.3416,8443.601,W,1
281838,556123.1398,4715.116,W,1
281398,555228.6194,2287.326,W,1
283011,554299.0613,7849.637,W,1
309342,554477.5419,5281.209,W,1
280867,554391.9679,6262.807,W,1
227255,551874.84,1839.345,W,1
282476,554576.4494,8814.915,H,0
282200,553411.2976,7879.055,H,0
280628,552810.2269,4450.52,H,0
280238,552711.8101,2955.157,H,0
312047,555311.1951,5331.262,H,0
309396,557040.6297,7059.087,H,0
315497,554832.7703,7082.471,H,0
310925,557017.1893,7104.588,H,0
312936,553628.7537,5900.4,H,0
277329,553332.4177,8200.082,H,0
314967,555611.7521,7142.973,H,0
278481,556850.501,7770.304,H,0
312625,553019.0319,4786.498,H,0
280426,554632.1274,4074.791,H,0
313269,555243.8307,5903.26,H,0
315361,553689.5461,8525.434,H,0
280611,553076.5917,4890.03,H,0
281399,555237.8218,2259.441,H,0
281401,555220.944,2165.274,H,0
310952,557158.6499,7766.209,H,0
277269,554949.6397,6519.6,H,0
281131,555775.6922,4835.917,H,0
281072,555820.4866,5084.277,H,0
281476,558222.6674,5594.76,H,0
282759,555841.5366,7205.06,H,0
280378,554669.8314,5544.083,H,0
281844,556158.0163,4791.828,H,0
313539,553367.6891,8263.429,H,0
226878,551690.5154,598.746,H,0
282173,553130.2983,7459.151,H,0
281412,555312.2387,2161.352,H,0
283023,553535.2406,8522.433,H,0
280673,552796.2984,3553.529,H,0
282103,553337.1063,8170.176,H,0
312911,554435.0342,6172.993,H,0
280558,553311.8263,5400.28,H,0
282802,554142.7164,7732.72,H,0
312785,553278.3642,5338.597,H,0
313387,557539.3605,4157.801,H,0
280877,554340.5144,5766.12,H,0
282154,553394.4159,7187.712,H,0
313183,556108.5104,4705.868,H,0
281407,555310.8105,2092.959,H,0
312083,553537.6549,8749.056,H,0
312516,554353.7027,4969.752,H,0
281477,558374.2691,5282.744,H,0
280375,554723.5751,5547.5,H,0
312501,555221.9393,3477.032,H,0
312160,554726.5365,5329.651,H,0
280747,553359.634,6158.683,H,0
279969,552871.3475,5107.934,H,0
312932,553587.4244,6419.268,H,0
278468,557065.8463,7064.994,H,0
280401,554358.2121,5531.804,H,0
281966,559144.032,1026.744,H,0
312521,554310.1958,1024.073,H,0
312189,553153.1816,5650.841,H,0
312736,552728.6673,4298.462,H,0
311790,554964.0876,7009.167,H,0
282642,554857.0719,8573.303,H,0
281958,559278.0226,1053.219,H,0
282032,553096.2067,6628.888,H,0
282818,554034.872,8311.555,H,0
227219,551873.4753,1721.103,H,0
280576,553148.2143,5301.177,H,0
312332,554916.8811,3398.433,H,0
280801,553045.851,6329.253,H,0
281816,556081.641,4841.482,H,0
314442,553128.1746,7576.577,H,0
280962,555137.4142,6305.326,H,0
282953,554930.4886,6753.478,H,0
280399,554315.6123,5500.261,H,0
280335,554680.9084,2214.324,H,0
280782,553096.9947,6253.681,H,0
281920,558643.6552,2034.638,H,0
282698,555736.861,7969.052,H,0
313103,553269.2648,7249.276,H,0
280659,552766.8352,3908.617,H,0
280591,552745.7728,4693.052,H,0
278519,557202.797,7148.554,H,0
280376,554683.7041,5540.644,H,0
312384,553108.6323,5381.719,H,0
315123,555022.9194,7424.351,H,0
