Person,PersonID,House,Mosquito,Age,Gender,WorkRandom,House_XCoord,House_Y_Coord,DENV1,DENV2,DENV3,DENV4,Denv1_time,Denv1_X,Denv1_Y,Denv2_time,Denv2_X,Denv2_Y,Denv3_time,Denv3_X,Denv3_Y,Denv4_time,Denv4_X,Denv4_Y
root.people[1616], 1617, root.buildings[694]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 57.0, F, 0.0, 553889.3431, 1828497.288, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1617], 1618, root.buildings[694]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 37.0, M, 0.0, 553889.3431, 1828497.288, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1618], 1619, root.buildings[695]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 31.0, F, 1.0, 559127.0192, 1829694.695, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1619], 1620, root.buildings[695]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 0.0, F, 0.0, 559127.0192, 1829694.695, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1620], 1621, root.buildings[695]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 29.0, M, 0.0, 559127.0192, 1829694.695, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1621], 1622, root.buildings[696]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 13.0, F, 1.0, 553241.7143, 1826453.235, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1622], 1623, root.buildings[696]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 33.0, F, 1.0, 553241.7143, 1826453.235, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1623], 1624, root.buildings[696]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 60.0, F, 1.0, 553241.7143, 1826453.235, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1624], 1625, root.buildings[696]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 9.0, M, 0.0, 553241.7143, 1826453.235, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1625], 1626, root.buildings[697]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 43.0, F, 0.0, 553422.6271, 1824152.542, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
